,subject,timeLock,index,yPredicted,y,intercept,trialIDtimeLock,r2
0,8.0,-2.0,12480.0,0.23718381857572107,-0.022239367681564547,2.0365261624292383,26.0,0.3451028213387586
1,8.0,-1.975,12481.0,0.07473915948269695,-0.05499804282736874,2.0365261624292383,26.0,0.3451028213387586
2,8.0,-1.9500000000000002,12482.0,0.057909169200832326,-0.08309822701006911,2.0365261624292383,26.0,0.3451028213387586
3,8.0,-1.9250000000000003,12483.0,0.057591622011374945,-0.09871894024400965,2.0365261624292383,26.0,0.3451028213387586
4,8.0,-1.9000000000000004,12484.0,0.07420433449607379,-0.10042404873080772,2.0365261624292383,26.0,0.3451028213387586
5,8.0,-1.8750000000000004,12485.0,0.09416110920789159,-0.09151659910487951,2.0365261624292383,26.0,0.3451028213387586
6,8.0,-1.8500000000000005,12486.0,0.11635725734813926,-0.07729265717696285,2.0365261624292383,26.0,0.3451028213387586
7,8.0,-1.8250000000000006,12487.0,0.13495385064416987,-0.06239870174112961,2.0365261624292383,26.0,0.3451028213387586
8,8.0,-1.8000000000000007,12488.0,0.1503579302107568,-0.043466723450333325,2.0365261624292383,26.0,0.3451028213387586
9,8.0,-1.7750000000000008,12489.0,0.15935362160824987,-0.022610016152848033,2.0365261624292383,26.0,0.3451028213387586
10,8.0,-1.7500000000000009,12490.0,0.16435071750761396,-0.004613314768688891,2.0365261624292383,26.0,0.3451028213387586
11,8.0,-1.725000000000001,12491.0,0.1692872077988189,0.011643271226283348,2.0365261624292383,26.0,0.3451028213387586
12,8.0,-1.700000000000001,12492.0,0.17315437452813176,0.024900507202813345,2.0365261624292383,26.0,0.3451028213387586
13,8.0,-1.6750000000000012,12493.0,0.17567595736208633,0.03364946917367955,2.0365261624292383,26.0,0.3451028213387586
14,8.0,-1.6500000000000012,12494.0,0.18089073397890762,0.033481228359252144,2.0365261624292383,26.0,0.3451028213387586
15,8.0,-1.6250000000000013,12495.0,0.18749233746804095,0.028108653491455613,2.0365261624292383,26.0,0.3451028213387586
16,8.0,-1.6000000000000014,12496.0,0.19759294440839423,0.02618214310931633,2.0365261624292383,26.0,0.3451028213387586
17,8.0,-1.5750000000000015,12497.0,0.20781553854430962,0.0270257658307878,2.0365261624292383,26.0,0.3451028213387586
18,8.0,-1.5500000000000016,12498.0,0.2197192497077456,0.030538202262407315,2.0365261624292383,26.0,0.3451028213387586
19,8.0,-1.5250000000000017,12499.0,0.2411732917033755,0.04762489725142764,2.0365261624292383,26.0,0.3451028213387586
20,8.0,-1.5000000000000018,12500.0,0.2742441929663949,0.08207324639462271,2.0365261624292383,26.0,0.3451028213387586
21,8.0,-1.4750000000000019,12501.0,0.31654428259622475,0.1287114703182912,2.0365261624292383,26.0,0.3451028213387586
22,8.0,-1.450000000000002,12502.0,0.3680110208377356,0.18373254830634372,2.0365261624292383,26.0,0.3451028213387586
23,8.0,-1.425000000000002,12503.0,0.4186931535452228,0.24486445643768495,2.0365261624292383,26.0,0.3451028213387586
24,8.0,-1.4000000000000021,12504.0,0.4668489352545996,0.2952574299418135,2.0365261624292383,26.0,0.3451028213387586
25,8.0,-1.3750000000000022,12505.0,0.4967906501700015,0.3300231007118879,2.0365261624292383,26.0,0.3451028213387586
26,8.0,-1.3500000000000023,12506.0,0.4990858473357976,0.3378883110470327,2.0365261624292383,26.0,0.3451028213387586
27,8.0,-1.3250000000000024,12507.0,0.47500339763814003,0.3156939251866276,2.0365261624292383,26.0,0.3451028213387586
28,8.0,-1.3000000000000025,12508.0,0.4323955228901581,0.2754191528009195,2.0365261624292383,26.0,0.3451028213387586
29,8.0,-1.2750000000000026,12509.0,0.36928836490468975,0.21073486847398964,2.0365261624292383,26.0,0.3451028213387586
30,8.0,-1.2500000000000027,12510.0,0.29762253227633895,0.13683968113504022,2.0365261624292383,26.0,0.3451028213387586
31,8.0,-1.2250000000000028,12511.0,0.22693891023659807,0.06507057394691333,2.0365261624292383,26.0,0.3451028213387586
32,8.0,-1.2000000000000028,12512.0,0.1684701288779556,-0.0011310573861273302,2.0365261624292383,26.0,0.3451028213387586
33,8.0,-1.175000000000003,12513.0,0.11746776277291276,-0.05970415368086867,2.0365261624292383,26.0,0.3451028213387586
34,8.0,-1.150000000000003,12514.0,0.08073663214538736,-0.10730705995021479,2.0365261624292383,26.0,0.3451028213387586
35,8.0,-1.125000000000003,12515.0,0.05336518365674553,-0.13496268395682814,2.0365261624292383,26.0,0.3451028213387586
36,8.0,-1.1000000000000032,12516.0,0.047633827596796886,-0.13958968945959674,2.0365261624292383,26.0,0.3451028213387586
37,8.0,-1.0750000000000033,12517.0,0.05561175907458959,-0.12635930626613334,2.0365261624292383,26.0,0.3451028213387586
38,8.0,-1.0500000000000034,12518.0,0.07567191954065523,-0.1039927099275399,2.0365261624292383,26.0,0.3451028213387586
39,8.0,-1.0250000000000035,12519.0,0.10555968997487428,-0.07144316265133613,2.0365261624292383,26.0,0.3451028213387586
40,8.0,-1.0000000000000036,12520.0,0.1323928641890678,-0.0411514978869305,2.0365261624292383,26.0,0.3451028213387586
41,8.0,-0.9750000000000036,12521.0,0.14561465229126186,-0.02292193423534049,2.0365261624292383,26.0,0.3451028213387586
42,8.0,-0.9500000000000037,12522.0,0.1454844969129993,-0.02082232487276606,2.0365261624292383,26.0,0.3451028213387586
43,8.0,-0.9250000000000038,12523.0,0.129640938019,-0.03572568634887619,2.0365261624292383,26.0,0.3451028213387586
44,8.0,-0.9000000000000039,12524.0,0.10950894044544744,-0.05818873497747025,2.0365261624292383,26.0,0.3451028213387586
